cancel	huỷ bỏ
nicely	thú vị, dễ chịu
prepare	chuẩn bị
half	một nửa
fifty	năm mươi
surgeon	bác sĩ phẫu thuật
disapproval	sự phản đổi, sự không tán thành
discourage	gây chán nản cho
hall	đại sảnh
oversee	giám sát
pollution	sự ô nhiễm
salary	lương
pretend	giả vờ
tea	trà
drunk	say
would	sẽ
pick	chọn
rabbit	Con thỏ
customs	thuế nhập khẩu, hải quan
ten	mười
sake	lợi ích
energy	năng lượng
successfully	thành công
solid	chất rắn
meanwhile	trong khi đó
narrative	tường thuật
investment	đầu tư
require	yêu cầu
scratch	vết trầy
click	nhấp chuột
cooperative	hợp tác xã
size	kích thước
left	trái
rounded	bị làm thành tròn; phát triển đầy đủ
eleven	mười một
protective	bảo vệ
amusing	vui thích
sideways	ngang, từ một bên; sang bên
statute	đạo luật
object	vật
newspaper	báo chí
accessible	có thể truy cập
hang	treo
statistical	thống kê
role	vai trò
cliff	vách đá
roll	cuộn
I	tôi
concede	công nhận
turn	xoay
blond	tóc vàng
balanced	cân bằng
elect	trúng tuyển
example	thí dụ
gold	vàng
result	kết quả
opposition	Sự đối lập
golf	golf
same	tương tự
commission	Uỷ ban
after	sau
quiet	Yên tĩnh
flip	lật
connect	kết nối
rational	hợp lý
hand	tay
policy	chính sách
rebuild	xây dựng lại
resume	tiếp tục
a	một
address	địa chỉ nhà
salt	Muối
artistic	nghệ thuật
eating	Ăn
blood	máu
neighbor	hàng xóm
straight	thẳng
the	các
sale	buôn bán
police	cảnh sát
outdoors	ở ngoài trời, ở ngoài nhà
throw	ném
exciting	thú vị
fifth	thứ năm
obvious	hiển nhiên
thank	cảm tạ
information	thông tin
regain	giành lại
surgery	phẫu thuật
november	tháng 11
violent	hung bạo
resolve	giải quyết
confront	đối đầu
good	tốt
deploy	triển khai
empty	trống
faithful	trung thành, chung thủy, trung thực
reproduce	tái sản xuất
tie	cà vạt
scholarship	học bổng
besides	ngoài ra
tin	thiếc
serious	nghiêm trọng
implement	thực hiện
tip	tiền boa
export	xuất khẩu
laugh	cười
others	Khác
well-being	hạnh phúc
fantasy	tưởng tượng
unhappiness	nỗi buồn, sự bất hạnh
check	kiểm tra
onto	trên
sand	cát
frustrate	thất vọng
aside	qua một bên
grandparent	ông bà
supposed	giả định
Afghanistan	Cộng hòa Áp-gha-nít-tan
harm	làm hại
downwards	xuống, đi xuống
inmate	tù nhân
provided	cung cấp
rope	dây thừng
lens	ống kính
representation	đại diện
society	xã hội
nowhere	hư không
motive	động cơ
provider	các nhà cung cấp
romantic	lãng mạn
behavioral	hành vi
motivate	động viên
root	nguồn gốc
hard	cứng
projection	chiếu
multiply	nhân lên, làm tăng lên nhiều lần; sinh sôi nảy nở
spoil	cướp, cướp đọat
tonne	tấn
lend	cho vay
effectiveness	hiệu quả
roof	mái nhà
pilot	Phi công
ticket	vé
cheek	má
umbrella	ô, dù
approval	sự chấp thuận
multiple	nhiều
concentrate	tập trung
expose	lộ ra
cheer	vui lên
room	phòng
versus	đấu với
better	tốt hơn
explosion	nổ
apart from	ngoài… ra
permit	cho phép
translation	dịch
well	tốt
cancer	ung thư
personnel	Nhân sự
suitable	thích hợp
romance	lãng mạn
camping	sự cắm trại
allegation	cáo buộc
